2023-02-09 00:12:15,153 INFO solution 42 mnw_solve:: Set parameter Username
2023-02-09 00:12:15,158 INFO solution 42 mnw_solve:: Academic license - for non-commercial use only - expires 2024-01-31
2023-02-09 00:12:15,668 INFO eq 157 eq_goods:: done with mnw for instance 1 in 0.5230989456176758s, status True
2023-02-09 00:12:15,670 DEBUG property 292 ispo:: ILP infeasible, retry with tolerance 0.0001
2023-02-09 00:12:15,671 DEBUG property 292 ispo:: ILP infeasible, retry with tolerance 0.001
2023-02-09 00:12:15,672 DEBUG property 292 ispo:: ILP infeasible, retry with tolerance 0.01
2023-02-09 00:12:15,673 DEBUG property 292 ispo:: ILP infeasible, retry with tolerance 0.1
2023-02-09 00:12:15,674 DEBUG property 294 ispo:: ILP infeasible with tolerance 0.1
2023-02-09 00:15:02,127 INFO solution 42 mnw_solve:: Set parameter Username
2023-02-09 00:15:02,130 INFO solution 42 mnw_solve:: Academic license - for non-commercial use only - expires 2024-01-31
2023-02-09 00:15:02,771 INFO eq 157 eq_goods:: done with mnw for instance 1 in 0.6495099067687988s, status True
2023-02-09 00:15:02,772 DEBUG property 292 ispo:: ILP infeasible, retry with tolerance 0.0001
2023-02-09 00:15:02,773 DEBUG property 292 ispo:: ILP infeasible, retry with tolerance 0.001
2023-02-09 00:15:02,774 DEBUG property 292 ispo:: ILP infeasible, retry with tolerance 0.01
2023-02-09 00:15:02,775 DEBUG property 292 ispo:: ILP infeasible, retry with tolerance 0.1
2023-02-09 00:15:02,776 DEBUG property 294 ispo:: ILP infeasible with tolerance 0.1
2023-02-09 16:04:15,381 INFO solution 42 mnw_solve:: Set parameter Username
2023-02-09 16:04:15,392 INFO solution 42 mnw_solve:: Academic license - for non-commercial use only - expires 2024-01-31
2023-02-09 16:04:16,224 INFO eq 157 eq_goods:: done with mnw for instance 1 in 0.8513028621673584s, status True
2023-02-09 16:04:16,226 DEBUG property 292 ispo:: ILP infeasible, retry with tolerance 0.0001
2023-02-09 16:04:16,228 DEBUG property 292 ispo:: ILP infeasible, retry with tolerance 0.001
2023-02-09 16:04:16,230 DEBUG property 292 ispo:: ILP infeasible, retry with tolerance 0.01
2023-02-09 16:04:16,232 DEBUG property 292 ispo:: ILP infeasible, retry with tolerance 0.1
2023-02-09 16:04:16,234 DEBUG property 294 ispo:: ILP infeasible with tolerance 0.1
2023-02-09 16:11:43,468 INFO solution 42 mnw_solve:: Set parameter Username
2023-02-09 16:11:43,472 INFO solution 42 mnw_solve:: Academic license - for non-commercial use only - expires 2024-01-31
2023-02-09 16:11:43,795 INFO eq 157 eq_goods:: done with mnw for instance 1 in 0.3328216075897217s, status True
2023-02-09 16:11:43,796 DEBUG property 369 ispo2:: ILP infeasible, retry with tolerance 0.0001
2023-02-09 16:11:43,796 DEBUG property 369 ispo2:: ILP infeasible, retry with tolerance 0.001
2023-02-09 16:11:43,796 DEBUG property 369 ispo2:: ILP infeasible, retry with tolerance 0.01
2023-02-09 16:11:43,797 DEBUG property 369 ispo2:: ILP infeasible, retry with tolerance 0.1
2023-02-09 16:11:43,797 DEBUG property 371 ispo2:: ILP infeasible with tolerance 0.1
2023-02-09 16:12:40,518 INFO solution 42 mnw_solve:: Set parameter Username
2023-02-09 16:12:40,522 INFO solution 42 mnw_solve:: Academic license - for non-commercial use only - expires 2024-01-31
2023-02-09 16:12:41,137 INFO eq 157 eq_goods:: done with mnw for instance 1 in 0.6208090782165527s, status True
2023-02-09 16:12:41,141 DEBUG property 369 ispo2:: ILP infeasible, retry with tolerance 0.0001
2023-02-09 16:12:41,142 DEBUG property 369 ispo2:: ILP infeasible, retry with tolerance 0.001
2023-02-09 16:12:41,143 DEBUG property 369 ispo2:: ILP infeasible, retry with tolerance 0.01
2023-02-09 16:12:41,145 DEBUG property 369 ispo2:: ILP infeasible, retry with tolerance 0.1
2023-02-09 16:12:41,146 DEBUG property 371 ispo2:: ILP infeasible with tolerance 0.1
2023-03-17 17:55:10,719 INFO solution 42 mnw_solve:: Set parameter Username
2023-03-17 17:55:10,724 INFO solution 42 mnw_solve:: Academic license - for non-commercial use only - expires 2024-01-31
2023-03-17 17:55:11,260 INFO eq 157 eq_goods:: done with mnw for instance 1 in 0.547173023223877s, status True
2023-03-17 17:55:11,261 DEBUG property 369 ispo2:: ILP infeasible, retry with tolerance 0.0001
2023-03-17 17:55:11,261 DEBUG property 369 ispo2:: ILP infeasible, retry with tolerance 0.001
2023-03-17 17:55:11,262 DEBUG property 369 ispo2:: ILP infeasible, retry with tolerance 0.01
2023-03-17 17:55:11,262 DEBUG property 369 ispo2:: ILP infeasible, retry with tolerance 0.1
2023-03-17 17:55:11,263 DEBUG property 371 ispo2:: ILP infeasible with tolerance 0.1
2023-03-17 18:08:53,949 INFO solution 42 mnw_solve:: Set parameter Username
2023-03-17 18:08:53,955 INFO solution 42 mnw_solve:: Academic license - for non-commercial use only - expires 2024-01-31
2023-03-17 18:08:54,541 INFO eq 157 eq_goods:: done with mnw for instance 1 in 0.597794771194458s, status True
2023-03-17 18:09:19,306 INFO solution 42 mnw_solve:: Set parameter Username
2023-03-17 18:09:19,311 INFO solution 42 mnw_solve:: Academic license - for non-commercial use only - expires 2024-01-31
2023-03-17 18:09:19,803 INFO eq 157 eq_goods:: done with mnw for instance 1 in 0.5024290084838867s, status True
2023-03-17 18:09:19,805 DEBUG eq 36 update_results:: instance 1, method mnw, satisfies eq: 0
2023-03-17 18:09:19,805 DEBUG eq 36 update_results:: instance 1, method mnw, satisfies eq1: 1
2023-03-17 18:09:19,805 DEBUG eq 36 update_results:: instance 1, method mnw, satisfies dupeq1: 1
2023-03-17 18:09:19,806 DEBUG eq 36 update_results:: instance 1, method mnw, satisfies eqx: 1
2023-03-17 18:09:19,806 DEBUG eq 36 update_results:: instance 1, method mnw, satisfies dupeqx: 1
2023-03-17 18:09:19,806 DEBUG eq 36 update_results:: instance 1, method mnw, satisfies ef: 0
2023-03-17 18:09:19,806 DEBUG eq 36 update_results:: instance 1, method mnw, satisfies ef1: 1
2023-03-17 18:09:19,806 DEBUG eq 36 update_results:: instance 1, method mnw, satisfies efx: 1
2023-03-17 18:09:19,807 DEBUG eq 36 update_results:: instance 1, method mnw, satisfies po: 1
2023-03-17 18:09:19,808 DEBUG eq 36 update_results:: instance 1, method mnw, satisfies eq+po: 0
2023-03-17 18:09:19,809 DEBUG eq 36 update_results:: instance 1, method mnw, satisfies eq1+po: 1
2023-03-17 18:09:19,810 DEBUG eq 36 update_results:: instance 1, method mnw, satisfies eqx+po: 1
2023-03-17 18:09:19,810 DEBUG eq 36 update_results:: instance 1, method mnw, satisfies eq1+ef1+po: 1
2023-03-17 18:09:19,811 DEBUG eq 36 update_results:: instance 1, method mnw, satisfies eqx+efx+po: 1
2023-03-17 18:09:19,812 DEBUG eq 36 update_results:: instance 1, method mnw, satisfies ef+po: 0
2023-03-17 18:09:19,813 DEBUG eq 36 update_results:: instance 1, method mnw, satisfies ef1+po: 1
2023-03-17 18:09:19,814 DEBUG eq 36 update_results:: instance 1, method mnw, satisfies efx+po: 1
2023-03-17 18:09:20,225 INFO eq 157 eq_goods:: done with mnw for instance 2 in 0.4104878902435303s, status True
2023-03-17 18:09:20,226 DEBUG eq 36 update_results:: instance 2, method mnw, satisfies eq: 0
2023-03-17 18:09:20,226 DEBUG eq 36 update_results:: instance 2, method mnw, satisfies eq1: 1
2023-03-17 18:09:20,227 DEBUG eq 36 update_results:: instance 2, method mnw, satisfies dupeq1: 1
2023-03-17 18:09:20,227 DEBUG eq 36 update_results:: instance 2, method mnw, satisfies eqx: 1
2023-03-17 18:09:20,227 DEBUG eq 36 update_results:: instance 2, method mnw, satisfies dupeqx: 1
2023-03-17 18:09:20,227 DEBUG eq 36 update_results:: instance 2, method mnw, satisfies ef: 1
2023-03-17 18:09:20,227 DEBUG eq 36 update_results:: instance 2, method mnw, satisfies ef1: 1
2023-03-17 18:09:20,227 DEBUG eq 36 update_results:: instance 2, method mnw, satisfies efx: 1
2023-03-17 18:09:20,228 DEBUG eq 36 update_results:: instance 2, method mnw, satisfies po: 1
2023-03-17 18:09:20,229 DEBUG eq 36 update_results:: instance 2, method mnw, satisfies eq+po: 0
2023-03-17 18:09:20,229 DEBUG eq 36 update_results:: instance 2, method mnw, satisfies eq1+po: 1
2023-03-17 18:09:20,230 DEBUG eq 36 update_results:: instance 2, method mnw, satisfies eqx+po: 1
2023-03-17 18:09:20,231 DEBUG eq 36 update_results:: instance 2, method mnw, satisfies eq1+ef1+po: 1
2023-03-17 18:09:20,232 DEBUG eq 36 update_results:: instance 2, method mnw, satisfies eqx+efx+po: 1
2023-03-17 18:09:20,233 DEBUG eq 36 update_results:: instance 2, method mnw, satisfies ef+po: 1
2023-03-17 18:09:20,234 DEBUG eq 36 update_results:: instance 2, method mnw, satisfies ef1+po: 1
2023-03-17 18:09:20,235 DEBUG eq 36 update_results:: instance 2, method mnw, satisfies efx+po: 1
2023-03-17 18:09:20,660 INFO eq 157 eq_goods:: done with mnw for instance 3 in 0.4244418144226074s, status True
2023-03-17 18:09:20,661 DEBUG eq 36 update_results:: instance 3, method mnw, satisfies eq: 0
2023-03-17 18:09:20,661 DEBUG eq 36 update_results:: instance 3, method mnw, satisfies eq1: 1
2023-03-17 18:09:20,661 DEBUG eq 36 update_results:: instance 3, method mnw, satisfies dupeq1: 1
2023-03-17 18:09:20,661 DEBUG eq 36 update_results:: instance 3, method mnw, satisfies eqx: 1
2023-03-17 18:09:20,661 DEBUG eq 36 update_results:: instance 3, method mnw, satisfies dupeqx: 1
2023-03-17 18:09:20,662 DEBUG eq 36 update_results:: instance 3, method mnw, satisfies ef: 0
2023-03-17 18:09:20,662 DEBUG eq 36 update_results:: instance 3, method mnw, satisfies ef1: 1
2023-03-17 18:09:20,662 DEBUG eq 36 update_results:: instance 3, method mnw, satisfies efx: 1
2023-03-17 18:09:20,663 DEBUG eq 36 update_results:: instance 3, method mnw, satisfies po: 1
2023-03-17 18:09:20,663 DEBUG eq 36 update_results:: instance 3, method mnw, satisfies eq+po: 0
2023-03-17 18:09:20,664 DEBUG eq 36 update_results:: instance 3, method mnw, satisfies eq1+po: 1
2023-03-17 18:09:20,665 DEBUG eq 36 update_results:: instance 3, method mnw, satisfies eqx+po: 1
2023-03-17 18:09:20,666 DEBUG eq 36 update_results:: instance 3, method mnw, satisfies eq1+ef1+po: 1
2023-03-17 18:09:20,667 DEBUG eq 36 update_results:: instance 3, method mnw, satisfies eqx+efx+po: 1
2023-03-17 18:09:20,668 DEBUG eq 36 update_results:: instance 3, method mnw, satisfies ef+po: 0
